Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,6.74,(0),636.445,201126.0,6.8071,(220),0.822236,(12),none
1,70.6673,(7),196.554,16986.5,21.1991,(87),0.16371,(49),none
2,129.487,(12),145.204,8838.16,34.737,(30),0.0363268,(104),none
3,96.5193,(8),168.184,8705.44,13.603,(151),0.196547,(39),none
4,170.899,(15),126.392,4391.6,26.223,(61),0.0663983,(80),none
5,388.245,(35),83.8567,4377.73,29.001,(52),0.0323517,(113),none
6,227.827,(20),109.468,2893.25,17.163,(115),0.0836399,(73),none
7,573.534,(50),68.994,2499.61,25.668,(63),0.0330265,(110),none
8,149.7,(13),135.045,2091.93,15.672,(123),0.0757459,(75),none
9,265.585,(24),101.389,1672.25,8.259,(199),0.691621,(13),none
10,1199.21,(92),47.7137,1589.36,77.09,(2),0.00524184,(226),none
11,1103.76,(87),49.734,1442.78,31.18,(43),0.0331944,(109),none
12,867.92,(72),56.0855,1370.79,18.867,(100),0.175898,(45),none
13,1400.6,(100),44.1503,1330.58,45.97,(16),0.00890716,(202),none
14,513.231,(43),72.9347,1214.2,17.275,(114),0.0741997,(76),none
15,420.727,(36),80.5546,1187.43,8.655,(192),0.443104,(17),none
16,254.224,(23),103.629,1158.85,8.363,(197),0.222233,(29),none
17,58.0345,(6),216.894,1093.09,7.454,(214),0.148961,(53),none
18,845.082,(71),56.8383,1011.35,9.943,(182),1.35555,(9),none
19,442.376,(38),78.5588,892.951,15.081,(136),0.064742,(82),none
20,1336.44,(97),45.1977,815.673,27.79,(56),0.0263117,(128),none
21,2222.38,(142),35.0495,802.791,40.99,(21),0.00863175,(206),none
22,803.952,(68),58.2741,775.427,34.781,(29),0.029195,(123),none
23,544.974,(49),70.7787,735.416,8.573,(194),0.262288,(26),none
24,1696.45,(115),40.1162,705.894,50.13,(11),0.00419771,(238),none
25,165.27,(14),128.527,700.413,7.815,(205),0.101371,(66),none
26,1257.97,(93),46.586,699.277,15.38,(128),0.13136,(57),none
27,1285.16,(94),46.0906,683.155,21.36,(85),0.0345173,(107),none
28,744.463,(63),60.5577,663.588,30.35,(47),0.0129986,(171),none
29,4541.12,(241),24.5194,651.988,79.37,(1),0.00339391,(244),none
30,4052.13,(225),25.9567,639.836,87.49,(0),0.00170303,(257),none
31,305.474,(29),94.5374,623.973,20.655,(91),0.0206863,(144),none
32,2684.14,(165),31.8925,571.307,45.97,(15),0.00696898,(216),none
33,1499.46,(105),42.6701,548.811,43.29,(19),0.00870612,(204),none
34,3131.17,(186),29.5282,535.771,48.34,(13),0.0084956,(208),none
35,14.6785,(1),431.271,530.469,11.3676,(167),0.16439,(48),none
36,2144.46,(138),35.6806,511.003,46.19,(14),0.00415332,(241),none
37,3257.92,(190),28.9481,502.929,32.66,(35),0.0199889,(145),none
38,426.291,(37),80.0272,488.343,9.276,(188),0.213622,(32),none
39,831.471,(70),57.3017,486.87,12.3,(161),0.153631,(50),none
40,3520.82,(202),27.8464,466.712,37.0,(26),0.0173763,(154),none
41,1638.3,(113),40.822,460.089,17.57,(111),0.0531176,(89),none
42,950.996,(77),53.5798,454.355,25.768,(62),0.0149071,(162),none
43,2069.65,(134),36.3197,427.018,25.2,(65),0.0175069,(153),none
44,3170.66,(187),29.3438,425.787,71.18,(3),0.0036173,(242),none
45,212.642,(19),113.309,410.516,3.317,(252),1.31927,(10),none
46,4349.68,(235),25.0531,383.731,58.27,(7),0.0025648,(253),none
47,195.509,(16),118.17,383.193,3.198,(253),2.97875,(6),none
48,889.113,(73),55.4131,380.213,30.771,(46),0.0410619,(97),none
49,2472.23,(154),33.2312,375.182,31.2,(42),0.00984373,(192),none
50,1028.05,(82),51.5328,372.852,31.17,(44),0.00718788,(214),none
51,2813.66,(172),31.1498,365.401,34.56,(32),0.0083608,(209),none
52,496.842,(42),74.1279,360.965,5.894,(232),0.372288,(21),none
53,667.795,(58),63.9395,356.6,14.208,(144),0.0323658,(112),none
54,2957.04,(178),30.3852,335.59,48.57,(12),0.00342742,(243),none
55,2426.97,(153),33.5396,332.184,29.57,(50),0.00674591,(219),none
56,1954.51,(128),37.3742,322.7,59.87,(5),0.0033287,(246),none
57,1547.59,(108),42.0013,320.244,24.17,(67),0.00761811,(213),none
58,4448.8,(238),24.7725,319.179,60.95,(4),0.00313568,(248),none
59,2785.68,(171),31.3058,312.415,20.99,(89),0.0338759,(108),none
60,1652.75,(114),40.6431,308.016,14.38,(142),0.0613715,(86),none
61,519.949,(44),72.462,296.235,6.468,(225),0.218777,(31),none
62,1895.99,(126),37.9466,280.513,19.18,(97),0.0225117,(136),none
63,616.051,(54),66.5706,280.284,10.659,(173),0.046983,(92),none
64,3563.36,(204),27.6797,277.811,40.33,(23),0.00927123,(200),none
65,3344.91,(194),28.5692,273.903,35.16,(27),0.00947623,(197),none
66,3957.46,(223),26.2653,258.899,54.1,(8),0.00466258,(233),none
67,1126.22,(88),49.2356,240.073,8.59,(193),0.175388,(46),none
68,470.805,(40),76.15,238.685,32.105,(37),0.0189174,(148),none
