Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,3.31724,(0),907.198,41873.8,4.06594,(39),14.1505,(38),none
1,10.9997,(3),498.196,15500.3,3.0747,(66),10.7456,(48),none
2,7.22234,(2),614.825,12340.8,2.49406,(87),17.2212,(32),none
3,54.6677,(20),223.473,11785.4,5.7903,(18),6.76022,(63),none
4,36.1686,(14),274.742,9398.19,6.291,(14),3.55497,(87),none
5,19.738,(7),371.911,9310.34,6.0825,(15),3.11959,(91),none
6,42.5197,(16),253.394,7468.54,2.9924,(69),25.0928,(22),none
7,13.1936,(4),454.893,5705.41,2.8939,(70),8.0308,(54),none
8,66.7983,(25),202.166,4241.95,3.4929,(52),10.8032,(47),none
9,63.4574,(24),207.419,4133.34,2.6917,(78),21.4573,(27),none
10,93.8004,(33),170.604,4032.72,3.4,(58),27.0727,(21),none
11,5.82923,(1),684.361,4022.33,1.48583,(126),23.9832,(23),none
12,32.5432,(13),289.641,3971.53,3.0934,(64),6.17117,(68),none
13,58.4176,(21),216.182,3894.1,2.2859,(99),32.1076,(17),none
14,47.9121,(17),238.709,3432.51,4.3906,(35),7.59957,(57),none
15,80.664,(30),183.972,2794.23,6.9867,(9),3.01305,(93),none
16,88.7589,(32),175.382,2789.82,3.0876,(65),14.171,(37),none
17,181.925,(61),122.502,2500.15,5.277,(23),6.83467,(62),none
18,69.2319,(26),198.581,2465.83,2.3862,(96),21.9265,(26),none
19,137.993,(47),140.657,2411.44,4.685,(31),4.67649,(78),none
20,414.745,(124),81.1335,2216.21,16.979,(0),0.210137,(145),none
21,131.165,(46),144.272,2009.93,3.785,(49),8.56189,(51),none
22,85.6842,(31),178.501,1992.77,3.7912,(48),5.42981,(73),none
23,208.769,(69),114.356,1940.86,7.189,(8),1.1399,(122),none
24,128.276,(45),145.887,1861.89,4.996,(25),3.47409,(88),none
25,97.2644,(34),167.538,1846.43,1.9211,(111),82.4709,(2),none
26,163.345,(56),129.282,1663.43,9.684,(4),0.72072,(134),none
27,74.0738,(28),191.981,1619.68,1.5877,(121),62.5918,(6),none
28,151.702,(53),134.151,1521.47,5.392,(21),2.50692,(98),none
29,276.14,(88),99.432,1482.14,9.712,(3),0.678759,(136),none
30,40.7398,(15),258.87,1470.05,1.0924,(138),94.9783,(1),none
31,24.1932,(8),335.926,1433.84,1.4801,(127),22.8485,(25),none
32,352.314,(112),88.029,1396.9,7.278,(7),1.03736,(127),none
33,113.147,(40),155.335,1284.32,3.883,(45),2.98388,(94),none
34,221.209,(72),111.094,1266.17,7.389,(6),0.670394,(137),none
35,191.173,(63),119.503,1233.22,4.79,(28),2.90546,(95),none
36,15.5692,(5),418.753,1179.8,0.9633,(143),32.6258,(16),none
37,122.756,(44),149.131,1122.27,3.484,(53),3.66423,(86),none
38,256.799,(82),103.108,1114.49,3.9,(42),6.64315,(64),none
39,187.013,(62),120.824,1073.13,2.884,(72),20.3318,(28),none
40,25.7614,(9),325.541,1011.04,0.8353,(144),80.9723,(3),none
41,60.4685,(22),212.484,1004.54,1.1875,(134),73.2578,(4),none
42,364.14,(115),86.5878,987.179,6.475,(13),1.13414,(123),none
43,101.032,(35),164.385,973.178,2.059,(107),17.7523,(31),none
44,50.8821,(19),231.637,962.244,1.0908,(139),68.0459,(5),none
45,382.008,(118),84.5385,960.232,9.796,(2),0.440329,(141),none
46,71.5608,(27),195.323,911.008,1.4,(128),60.3168,(7),none
47,393.201,(121),83.3265,868.291,6.966,(10),0.754408,(132),none
48,27.4684,(10),315.264,850.244,1.8921,(112),6.84077,(61),none
49,30.2203,(12),300.567,821.458,0.9941,(141),41.224,(13),none
50,476.011,(137),75.7325,812.846,10.969,(1),0.221846,(144),none
51,171.264,(57),126.258,809.967,5.284,(22),1.12031,(124),none
52,61.3663,(23),210.924,796.833,1.1868,(135),55.9149,(8),none
53,156.366,(54),132.136,775.111,2.593,(82),6.4434,(65),none
54,148.71,(52),135.494,769.91,2.286,(97),11.6964,(46),none
55,110.312,(39),157.318,763.4,2.196,(104),7.26512,(58),none
56,108.071,(38),158.941,738.422,1.99,(108),10.694,(49),none
57,117.9,(42),152.172,705.403,2.484,(89),6.08869,(69),none
58,250.519,(80),104.393,693.884,5.713,(20),1.62248,(111),none
59,445.027,(130),78.3245,685.588,8.789,(5),0.302614,(143),none
60,105.963,(37),160.514,669.668,2.226,(103),8.3428,(52),none
61,232.563,(75),108.348,642.279,3.891,(43),1.96485,(108),none
62,264.487,(85),101.599,623.36,2.671,(81),13.542,(40),none
63,175.587,(59),124.694,619.383,3.29,(60),2.68412,(96),none
64,76.3299,(29),189.123,575.822,1.4878,(125),23.0666,(24),none
65,178.861,(60),123.547,572.28,1.979,(110),19.6042,(30),none
66,261.757,(84),102.127,565.463,2.484,(90),13.9214,(39),none
67,372.797,(117),85.5765,556.816,4.074,(38),3.22792,(89),none
68,513.236,(144),72.9344,549.435,5.875,(17),1.11202,(125),none
69,121.079,(43),150.161,545.343,2.28,(101),5.74871,(70),none
70,16.3696,(6),408.387,543.499,1.2722,(132),15.0703,(36),none
