Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,431723.0,(212),2.58088,15130500.0,973625.0,(1),6.89017,(149),none
1,8000000.0,(213),0.599549,1657200.0,5943180.0,(0),4.80422,(204),none
2,6.93165,(2),644.097,20872.0,6.0862,(68),8.41328,(101),none
3,13.8081,(3),456.355,10917.5,3.3254,(145),13.3664,(38),none
4,105.992,(28),164.715,4415.98,9.67,(16),5.24168,(197),none
5,1.40625,(0),1430.01,4373.44,3.33655,(144),10.7699,(64),none
6,70.932,(19),201.349,3961.65,7.1707,(44),6.02052,(182),none
7,1165.0,(208),49.6829,3402.36,15.79,(3),7.21225,(133),none
8,991.072,(189),53.8663,3216.12,14.982,(4),6.49503,(170),none
9,166.127,(40),131.568,3177.24,11.991,(5),7.06036,(142),none
10,48.8944,(12),242.516,3084.12,4.0627,(121),9.48523,(76),none
11,486.555,(110),76.8783,2968.64,6.7,(57),7.61331,(123),none
12,22.6403,(5),356.393,2801.46,3.3709,(142),9.35214,(80),none
13,62.3624,(17),214.738,2754.8,6.4404,(63),5.92436,(185),none
14,224.84,(51),113.092,2751.41,6.879,(52),7.65194,(119),none
15,932.972,(181),55.5182,2647.57,11.082,(10),4.59723,(206),none
16,1182.4,(209),49.316,2357.88,11.56,(7),14.3348,(26),none
17,288.897,(66),99.7696,2229.11,5.992,(71),10.7873,(62),none
18,31.332,(7),302.953,2165.75,6.2912,(64),7.00485,(145),none
19,44.7414,(11),253.522,2111.82,2.3511,(182),14.4296,(24),none
20,26.5579,(6),329.058,2097.63,2.9536,(154),10.7287,(65),none
21,1247.74,(211),48.0073,2064.02,57.73,(2),10.1253,(68),none
22,298.597,(67),98.1357,1862.81,10.586,(12),5.81574,(189),none
23,18.8833,(4),390.239,1763.09,6.7608,(56),7.66094,(118),none
24,612.315,(134),68.5302,1649.34,6.896,(50),6.04879,(181),none
25,126.969,(33),150.495,1589.98,9.035,(19),7.25999,(130),none
26,75.2735,(20),195.456,1492.37,2.6304,(169),13.8232,(29),none
27,472.492,(107),78.014,1402.16,6.075,(69),6.70429,(161),none
28,86.4057,(23),182.431,1398.37,9.6259,(17),6.05584,(180),none
29,1047.61,(196),52.3926,1342.08,9.76,(15),6.17681,(177),none
30,492.618,(111),76.4037,1319.04,5.283,(84),13.1244,(39),none
31,38.0135,(8),275.043,1308.06,5.2812,(85),6.39866,(171),none
32,112.109,(30),160.158,1275.21,2.397,(179),14.4155,(25),none
33,154.193,(39),136.564,1240.04,2.905,(158),13.5607,(32),none
34,942.749,(182),55.2296,1203.68,8.357,(26),10.5146,(66),none
35,330.367,(75),93.2978,1199.09,3.899,(128),12.6639,(41),none
36,135.451,(34),145.706,1198.37,9.766,(14),5.65877,(190),none
37,4.472,(1),801.897,1187.72,1.63797,(202),12.6138,(42),none
38,376.219,(88),87.4278,1147.37,3.993,(123),11.1441,(56),none
39,1073.09,(199),51.7668,1133.83,8.87,(22),7.66519,(117),none
40,184.039,(44),125.001,1123.55,8.083,(31),6.71927,(160),none
41,413.36,(93),83.4076,1085.59,6.783,(55),6.74888,(158),none
42,139.468,(35),143.593,1077.45,3.266,(147),9.25412,(82),none
43,1121.94,(203),50.6273,1071.76,11.26,(8),8.58406,(94),none
44,236.948,(55),110.165,1068.62,3.492,(138),11.3231,(54),none
45,618.207,(135),68.2029,1068.54,4.959,(101),21.4854,(8),none
46,716.919,(152),63.3337,1016.71,5.786,(74),4.82357,(203),none
47,110.386,(29),161.403,988.274,2.296,(183),16.8634,(17),none
48,960.606,(185),54.7138,979.612,7.893,(34),4.43889,(212),none
49,41.7854,(10),262.336,955.618,2.9004,(159),7.10558,(141),none
50,526.018,(117),73.9383,954.757,6.983,(45),6.8975,(148),none
51,149.494,(37),138.694,938.001,7.59,(38),6.53786,(169),none
52,117.656,(32),156.337,932.263,3.631,(133),12.0769,(47),none
53,303.885,(68),97.2781,882.739,4.692,(106),7.20361,(134),none
54,1054.82,(197),52.2132,871.297,6.96,(48),8.10879,(108),none
55,114.732,(31),158.317,844.598,1.785,(198),38.2841,(1),none
56,98.7023,(27),170.689,838.883,2.2136,(187),14.0976,(28),none
57,260.666,(60),105.033,831.486,8.783,(23),5.18916,(200),none
58,768.241,(161),61.1816,822.753,4.578,(108),16.1669,(19),none
59,530.751,(118),73.6079,821.049,4.991,(99),9.52194,(73),none
60,761.966,(160),61.433,820.356,5.159,(92),4.58633,(208),none
61,653.149,(142),66.3535,817.951,6.003,(70),12.0395,(49),none
62,278.653,(63),101.587,811.173,6.497,(62),4.97314,(202),none
63,808.081,(166),59.6544,797.427,8.184,(29),7.83353,(116),none
64,335.752,(76),92.5466,793.203,4.866,(102),9.41178,(78),none
65,465.292,(106),78.6153,766.113,4.406,(113),4.57362,(210),none
66,848.528,(171),58.2152,753.736,5.145,(94),12.9926,(40),none
67,998.954,(190),53.6534,736.873,5.45,(82),18.8606,(11),none
68,271.353,(62),102.944,731.609,4.99,(100),5.19201,(199),none
69,977.586,(188),54.2366,728.224,7.583,(39),8.55315,(96),none
70,93.9283,(25),174.973,696.761,4.51,(110),6.3605,(173),none
71,508.274,(114),75.2178,675.988,6.963,(47),8.33772,(105),none
72,1110.45,(202),50.8886,674.212,7.24,(43),7.22207,(132),none
73,175.076,(43),128.161,671.839,4.73,(104),6.80654,(155),none
74,419.946,(94),82.751,633.911,5.187,(91),9.48709,(75),none
75,142.436,(36),142.089,625.74,2.159,(192),18.28,(13),none
76,407.747,(92),83.9797,624.981,4.577,(109),9.15489,(85),none
77,910.597,(179),56.1962,623.696,10.945,(11),7.15233,(137),none
78,596.155,(129),69.4529,622.807,4.009,(122),12.1401,(46),none
79,799.559,(165),59.9714,610.588,8.979,(20),7.85574,(115),none
80,217.574,(50),114.965,604.391,2.084,(193),12.2829,(45),none
81,646.33,(141),66.7026,595.173,4.186,(118),6.59683,(168),none
82,736.986,(156),62.4655,590.866,6.973,(46),9.26185,(81),none
83,240.485,(56),109.352,590.377,2.894,(160),13.5593,(33),none
84,95.8261,(26),173.232,586.33,1.6732,(200),13.5519,(34),none
85,380.41,(89),86.9448,577.371,2.943,(156),20.0253,(10),none
86,266.979,(61),103.784,558.364,5.492,(80),5.82019,(188),none
87,966.766,(186),54.5392,556.927,5.15,(93),13.4041,(37),none
88,568.026,(125),71.1518,535.184,4.862,(103),8.65598,(93),none
89,1103.3,(201),51.0532,525.035,7.88,(35),7.97163,(111),none
90,89.4524,(24),179.297,514.098,2.5564,(172),8.47385,(99),none
91,456.169,(103),79.3975,509.354,4.645,(107),6.68809,(164),none
92,821.758,(168),59.1559,496.896,8.183,(30),6.76202,(156),none
93,321.492,(72),94.5768,478.565,7.784,(36),5.12528,(201),none
94,355.242,(81),89.972,460.427,6.872,(53),5.19392,(198),none
95,922.237,(180),55.8404,460.058,6.089,(67),4.71256,(205),none
96,401.741,(91),84.6051,457.865,4.429,(112),5.45536,(193),none
97,1130.05,(204),50.4453,448.958,8.05,(32),8.40192,(104),none
98,309.499,(69),96.3918,437.607,5.257,(87),6.60547,(166),none
99,65.9171,(18),208.867,435.924,1.3905,(208),22.9861,(6),none
100,785.515,(163),60.5052,419.371,5.192,(90),6.23374,(175),none
101,791.431,(164),60.2786,417.781,5.251,(88),11.0534,(57),none
102,515.956,(115),74.6558,413.307,7.391,(41),7.12437,(140),none
