Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2.84375,(0),979.817,59454.0,4.70674,(11),14.3737,(11),none
1,91.8656,(28),172.391,7413.28,10.1936,(1),0.75558,(41),none
2,47.2595,(16),240.351,6647.92,5.3712,(7),3.18662,(26),none
3,7.54888,(1),601.381,6643.19,2.9438,(21),13.9835,(12),none
4,15.1404,(4),424.641,6497.97,8.8248,(2),1.51024,(36),none
5,72.1635,(23),194.506,4457.69,8.5912,(3),0.951546,(40),none
6,34.3347,(11),281.984,4335.49,4.8831,(9),2.91691,(29),none
7,27.539,(9),314.859,4143.48,2.9516,(20),6.7475,(22),none
8,30.8896,(10),297.293,2970.84,1.7246,(29),29.4166,(7),none
9,38.3658,(12),266.759,2942.2,3.8824,(17),3.04005,(27),none
10,144.705,(41),137.356,2609.87,4.788,(10),2.71185,(32),none
11,52.0741,(17),228.971,2169.61,1.7905,(27),30.0759,(6),none
12,101.314,(30),164.156,2031.55,3.989,(14),3.42903,(25),none
13,84.4259,(27),179.826,1965.01,5.5914,(6),1.35474,(37),none
14,150.449,(42),134.709,1927.94,4.087,(13),2.82878,(31),none
15,22.1451,(6),351.117,1844.99,3.9875,(15),3.50097,(24),none
16,121.752,(35),149.745,1841.16,10.287,(0),0.375906,(43),none
17,59.4209,(19),214.349,1809.51,6.1169,(5),1.2708,(38),none
18,26.5526,(8),320.654,1789.83,1.7037,(30),10.0866,(16),none
19,55.3186,(18),222.154,1724.68,3.9517,(16),2.84875,(30),none
20,131.983,(38),143.824,1508.17,4.291,(12),1.89583,(35),none
21,9.58264,(2),533.763,1408.06,0.82169,(42),71.8817,(0),none
22,140.084,(40),139.604,1351.54,5.283,(8),1.19415,(39),none
23,110.715,(33),157.032,1299.06,7.889,(4),0.654805,(42),none
24,66.8506,(22),202.087,1163.99,2.295,(23),6.78631,(21),none
25,77.5163,(24),187.67,1020.85,2.1871,(24),9.95879,(17),none
26,136.057,(39),141.654,1006.16,3.389,(18),2.48631,(33),none
27,24.5045,(7),333.786,938.263,0.9848,(40),37.1156,(4),none
28,98.6663,(29),166.344,938.021,1.8889,(26),13.0177,(15),none
29,63.7922,(20),206.874,827.711,2.0119,(25),8.57136,(19),none
30,19.7331,(5),371.957,773.605,0.9854,(39),31.9534,(5),none
31,79.7597,(25),185.012,768.29,1.6919,(31),18.1807,(10),none
32,104.151,(31),161.905,559.513,1.291,(33),37.5668,(3),none
33,115.522,(34),153.73,462.467,2.394,(22),3.01031,(28),none
34,43.1506,(14),251.534,461.234,3.1395,(19),2.32902,(34),none
35,105.808,(32),160.632,410.067,1.587,(32),9.82515,(18),none
36,40.9982,(13),258.053,370.641,1.0337,(37),19.6247,(8),none
37,128.928,(37),145.518,356.608,1.789,(28),7.05773,(20),none
38,81.2425,(26),183.315,276.004,1.2895,(34),13.5298,(13),none
39,65.2728,(21),204.515,259.136,0.8529,(41),62.3897,(2),none
40,44.9745,(15),246.381,148.799,0.9914,(38),13.0599,(14),none
41,10.176,(3),517.967,117.545,0.4885,(43),66.3972,(1),none
42,127.529,(36),146.314,100.433,1.089,(36),19.3966,(9),none
43,152.614,(43),133.75,70.0148,1.2,(35),4.43486,(23),none
