Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,46000000.0,(641),0.250029,33705800.0,55500000.0,(0),4.30843,(617),none
1,11000000.0,(640),0.511297,17453400.0,15200000.0,(1),5.10002,(460),none
2,2213.41,(1),36.0445,1665030.0,1509.85,(394),6.26875,(294),none
3,759.292,(0),61.5411,431149.0,506.25,(540),3.75924,(636),none
4,3335.38,(2),29.3628,261971.0,1037.4,(474),10.8976,(76),none
5,15314.4,(12),13.7031,251523.0,3403.2,(219),5.90541,(331),none
6,6271.63,(5),21.4131,146089.0,1173.43,(447),10.0881,(100),none
7,17399.0,(13),12.8561,89929.6,1912.0,(340),12.7685,(63),none
8,27004.6,(20),10.3193,81178.5,1784.1,(350),5.73142,(355),none
9,32695.3,(25),9.37836,64476.1,3209.9,(236),6.59802,(270),none
10,42169.5,(31),8.25792,56976.1,3196.8,(237),10.2036,(96),none
11,37061.6,(29),8.80862,53188.3,2570.0,(277),11.2836,(71),none
12,3400000.0,(639),0.919666,50475.6,600000.0,(3),7.836,(194),none
13,23107.9,(17),11.1555,49665.8,2069.7,(329),10.8806,(77),none
14,67080.9,(50),6.54742,48101.5,3439.6,(215),8.30952,(168),none
15,28722.3,(21),10.006,40951.4,1725.1,(365),10.3162,(91),none
16,79600.5,(58),6.01052,40378.9,6523.4,(103),9.36082,(122),none
17,39104.2,(30),8.57547,38564.7,1909.8,(341),10.7843,(81),none
18,24905.8,(19),10.7453,37039.2,1358.2,(422),10.5926,(83),none
19,8985.9,(7),17.8891,35420.7,2457.53,(285),9.006,(137),none
20,11476.0,(11),15.8298,33276.2,943.9,(483),5.96347,(325),none
21,5092.52,(4),23.7631,23731.1,199.51,(575),4.2193,(623),none
22,89452.8,(63),5.66987,20635.9,3379.1,(226),9.96327,(106),none
23,34631.6,(28),9.11241,19099.4,1301.3,(429),13.2931,(49),none
24,312660.0,(292),3.03273,17961.0,6320.0,(108),4.10743,(627),none
25,68346.6,(51),6.48651,17538.5,1229.7,(438),6.02121,(317),none
26,4438.59,(3),25.4535,17001.5,1100.32,(459),10.0647,(101),none
27,70582.8,(54),6.38293,16678.0,1382.5,(416),13.0269,(58),none
28,62904.2,(48),6.7613,16188.9,1368.0,(421),10.2065,(95),none
29,149500.0,(182),4.3858,15156.2,2240.0,(312),1.6759,(641),none
30,20814.2,(15),11.7541,14907.6,3091.9,(246),11.3129,(70),none
31,71613.6,(55),6.33683,14539.3,1009.5,(478),11.5943,(67),none
32,61526.5,(47),6.83658,14248.2,1039.0,(473),4.93666,(511),none
33,390180.0,(325),2.7148,13546.2,5750.0,(129),3.803,(635),none
34,50622.9,(38),7.53696,12921.9,905.8,(490),10.5077,(87),none
35,46439.9,(34),7.86908,12745.3,606.2,(530),12.61,(64),none
36,84172.9,(60),5.84499,11976.8,1692.6,(368),9.01949,(136),none
