Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,148402.0,(138),4.402,62908.1,3559.0,(349),5.9964,(168),['28-Ni-58_n-tot']
1,60336.3,(87),6.90368,41285.4,1642.7,(653),4.57218,(261),['28-Ni-58_n-tot']
2,269940.0,(224),3.26389,24695.9,4158.0,(289),2.144,(1028),['28-Ni-58_n-tot']
3,154145.0,(141),4.31922,21995.5,2942.0,(427),2.63357,(882),['28-Ni-60_n-tot']
4,422669.0,(321),2.60837,20688.0,4039.0,(302),1.7702,(1103),['28-Ni-58_n-tot']
5,61889.3,(88),6.81651,18887.5,2174.1,(532),11.8936,(55),['28-Ni-58_n-tot']
6,4893140.0,(1126),0.766613,17800.2,90440.0,(6),3.2785,(552),['28-Ni-58_n-tot']
7,59013.1,(86),6.98064,17623.3,1446.9,(692),3.68908,(381),['28-Ni-58_n-tot']
8,5789750.0,(1142),0.704758,17397.0,137360.0,(0),3.56638,(426),['28-Ni-58_n-tot']
9,1476720.0,(760),1.39547,17391.0,9100.0,(114),2.55725,(907),['28-Ni-58_n-tot']
10,648913.0,(445),2.10512,16157.0,3696.0,(336),4.01349,(326),['28-Ni-58_n-tot']
11,503429.0,(364),2.39001,14979.4,4643.0,(260),3.68821,(382),['28-Ni-58_n-tot']
12,378180.0,(295),2.75753,14974.4,1862.0,(602),4.0222,(325),['28-Ni-58_n-tot']
13,207900.0,(174),3.71914,14544.2,2018.0,(568),10.7882,(62),['28-Ni-58_n-tot']
14,123419.0,(122),4.82702,14346.3,2155.0,(535),2.89128,(767),['28-Ni-58_n-tot']
15,82330.2,(95),5.91004,14298.8,930.6,(833),8.45666,(98),['28-Ni-58_n-tot']
16,346393.0,(274),2.88128,14171.1,2130.0,(545),3.57428,(422),['28-Ni-58_n-tot']
17,2710010.0,(981),1.03011,13916.7,20150.0,(39),2.66566,(868),['28-Ni-58_n-tot']
18,417139.0,(319),2.6256,13485.8,3420.0,(363),3.63833,(394),['28-Ni-58_n-tot']
19,2306590.0,(927),1.11657,13168.9,11830.0,(86),2.64073,(880),['28-Ni-58_n-tot']
20,107144.0,(111),5.18067,13066.9,1734.0,(629),3.18238,(602),['28-Ni-58_n-tot']
21,280860.0,(229),3.19981,12988.2,2568.0,(467),2.05999,(1046),['28-Ni-58_n-tot']
22,202744.0,(173),3.76613,12666.3,3407.0,(364),2.46267,(939),['28-Ni-58_n-tot']
23,13151.4,(21),14.7871,12649.8,435.4,(1002),8.29826,(104),['28-Ni-58_n-tot']
24,659961.0,(452),2.08742,12643.3,4291.0,(277),1.55748,(1145),['28-Ni-58_n-tot']
25,12204.6,(19),15.35,12257.2,2046.5,(561),8.84721,(84),['28-Ni-60_n-tot']
26,157156.0,(144),4.27764,12045.9,1459.0,(686),7.44788,(120),['28-Ni-58_n-tot']
27,1232790.0,(694),1.5273,11903.4,6540.0,(174),1.90442,(1081),['28-Ni-58_n-tot']
28,1278650.0,(707),1.49966,11787.0,6100.0,(189),2.23642,(1011),['28-Ni-58_n-tot']
29,250536.0,(207),3.38793,11625.2,1242.0,(749),6.72101,(139),['28-Ni-58_n-tot']
30,1177400.0,(677),1.56282,11341.8,6300.0,(182),1.87656,(1086),['28-Ni-58_n-tot']
31,165856.0,(147),4.16394,11020.3,3964.0,(314),8.62367,(92),['28-Ni-58_n-tot']
32,574690.0,(407),2.23693,10825.2,1683.0,(640),4.78143,(241),['28-Ni-58_n-tot']
33,134069.0,(131),4.63133,10731.8,2245.0,(513),2.77626,(831),['28-Ni-58_n-tot']
34,595238.0,(413),2.19798,10679.9,3648.0,(340),2.44361,(944),['28-Ni-58_n-tot']
35,466042.0,(345),2.48403,10386.2,2855.0,(440),4.80198,(239),['28-Ni-58_n-tot']
36,231347.0,(191),3.52564,10314.6,1418.0,(702),3.24221,(568),['28-Ni-58_n-tot']
37,91572.8,(103),5.60385,10291.4,1605.0,(659),6.8885,(134),['28-Ni-58_n-tot']
38,527507.0,(381),2.33483,10212.2,2258.0,(510),3.90449,(341),['28-Ni-58_n-tot']
39,868562.0,(564),1.81957,10046.0,4060.0,(301),1.90085,(1082),['28-Ni-58_n-tot']
40,529171.0,(382),2.33116,9656.23,1625.0,(656),1.79383,(1099),['28-Ni-58_n-tot']
41,83392.6,(96),5.87227,9440.65,531.4,(964),6.87747,(135),['28-Ni-58_n-tot']
42,5174110.0,(1133),0.745507,9422.52,54730.0,(12),3.48324,(457),['28-Ni-58_n-tot']
43,669036.0,(458),2.07322,9386.5,2143.0,(538),1.65314,(1130),['28-Ni-58_n-tot']
44,587312.0,(410),2.21277,9379.39,2135.0,(544),2.04525,(1051),['28-Ni-58_n-tot']
45,1299760.0,(713),1.48744,9242.78,6260.0,(183),3.00347,(696),['28-Ni-58_n-tot']
46,446113.0,(338),2.53891,9156.42,1573.0,(666),5.04748,(228),['28-Ni-58_n-tot']
47,1909540.0,(855),1.22717,8949.02,9010.0,(116),2.84884,(790),['28-Ni-58_n-tot']
48,606207.0,(419),2.17801,8896.54,2204.0,(524),4.63635,(253),['28-Ni-58_n-tot']
49,412331.0,(316),2.64087,8860.28,2223.0,(517),1.72634,(1111),['28-Ni-58_n-tot']
50,808757.0,(537),1.88565,8809.9,2357.0,(495),3.71295,(376),['28-Ni-58_n-tot']
51,779659.0,(521),1.92051,8802.81,1750.0,(626),3.0144,(688),['28-Ni-58_n-tot']
52,396920.0,(305),2.69165,8709.18,1769.0,(621),3.85798,(352),['28-Ni-58_n-tot']
53,2522380.0,(958),1.06774,8675.25,10510.0,(99),2.35883,(967),['28-Ni-58_n-tot']
54,608189.0,(420),2.17446,8667.5,2147.0,(536),4.58564,(260),['28-Ni-58_n-tot']
55,243801.0,(199),3.43441,8658.6,1170.0,(771),7.19435,(127),['28-Ni-58_n-tot']
56,520712.0,(377),2.35002,8558.48,2323.0,(503),3.04647,(676),['28-Ni-58_n-tot']
57,394652.0,(302),2.69937,8492.95,3480.0,(358),1.78662,(1101),['28-Ni-58_n-tot']
58,569817.0,(406),2.24648,8478.02,3515.0,(352),3.874,(347),['28-Ni-58_n-tot']
59,777921.0,(520),1.92266,8384.6,2196.0,(527),3.72933,(373),['28-Ni-58_n-tot']
60,200498.0,(170),3.78717,8301.9,2329.0,(501),2.7795,(828),['28-Ni-58_n-tot']
61,430386.0,(326),2.58488,8212.04,1846.0,(607),5.81003,(188),['28-Ni-58_n-tot']
62,495250.0,(359),2.40967,8139.7,1592.0,(661),2.12332,(1038),['28-Ni-58_n-tot']
63,4714380.0,(1123),0.781012,8004.16,49820.0,(13),3.42669,(479),['28-Ni-58_n-tot']
64,840331.0,(551),1.84988,7945.74,3446.0,(362),1.9992,(1062),['28-Ni-58_n-tot']
65,1438300.0,(750),1.41399,7886.46,6130.0,(187),2.7222,(850),['28-Ni-58_n-tot']
66,301097.0,(245),3.09041,7838.23,1126.0,(780),5.45439,(198),['28-Ni-58_n-tot']
67,5365180.0,(1137),0.732112,7823.21,47600.0,(14),3.50294,(446),['28-Ni-58_n-tot']
68,1660600.0,(799),1.31594,7817.25,10650.0,(97),2.58147,(898),['28-Ni-58_n-tot']
69,4459540.0,(1115),0.803017,7763.81,30630.0,(22),3.59894,(411),['28-Ni-58_n-tot']
70,267651.0,(221),3.27782,7758.42,2025.0,(567),2.66687,(867),['28-Ni-58_n-tot']
71,166980.0,(148),4.1499,7700.63,1006.0,(820),7.65353,(114),['28-Ni-58_n-tot']
72,3765520.0,(1079),0.873891,7694.92,25440.0,(29),3.24402,(566),['28-Ni-58_n-tot']
73,172427.0,(151),4.08382,7413.4,1983.0,(576),7.40135,(121),['28-Ni-58_n-tot']
74,625611.0,(431),2.14396,7367.07,2042.0,(562),3.53837,(434),['28-Ni-58_n-tot']
75,695336.0,(472),2.03363,7169.05,2220.0,(518),1.66204,(1124),['28-Ni-58_n-tot']
76,185453.0,(159),3.93779,7155.03,877.0,(848),3.88272,(346),['28-Ni-58_n-tot']
77,632507.0,(436),2.13224,7154.48,1241.0,(752),3.04138,(679),['28-Ni-58_n-tot']
78,1985310.0,(871),1.20353,7112.23,11080.0,(91),2.18565,(1018),['28-Ni-58_n-tot']
79,5621540.0,(1141),0.715224,7109.1,107480.0,(2),3.56636,(427),['28-Ni-58_n-tot']
80,434005.0,(329),2.57408,7068.69,1631.0,(654),6.06357,(163),['28-Ni-58_n-tot']
81,3055520.0,(1019),0.970124,6983.26,12820.0,(77),3.04504,(677),['28-Ni-58_n-tot']
82,674233.0,(461),2.06521,6889.04,1399.0,(707),4.65258,(252),['28-Ni-58_n-tot']
83,886812.0,(571),1.80075,6882.1,4498.0,(263),2.66536,(869),['28-Ni-58_n-tot']
84,343977.0,(273),2.89138,6877.05,755.0,(885),4.6973,(249),['28-Ni-58_n-tot']
85,1168170.0,(674),1.56898,6816.32,3930.0,(316),2.77357,(832),['28-Ni-58_n-tot']
86,718481.0,(486),2.00061,6795.74,2878.0,(435),1.66127,(1125),['28-Ni-58_n-tot']
87,479491.0,(350),2.44895,6744.08,2385.0,(490),4.33224,(280),['28-Ni-58_n-tot']
88,667214.0,(456),2.07605,6727.64,1845.0,(608),2.14765,(1025),['28-Ni-58_n-tot']
89,1643220.0,(795),1.32288,6713.08,5160.0,(227),1.79786,(1098),['28-Ni-58_n-tot']
90,6110220.0,(1145),0.686027,6692.19,105040.0,(3),3.60714,(409),['28-Ni-58_n-tot']
91,4495340.0,(1116),0.799813,6604.12,27250.0,(26),3.62437,(397),['28-Ni-58_n-tot']
92,1096430.0,(648),1.61949,6578.52,6010.0,(194),1.61111,(1138),['28-Ni-58_n-tot']
93,182776.0,(156),3.96652,6553.93,1560.0,(669),4.52555,(266),['28-Ni-58_n-tot']
94,952189.0,(597),1.73783,6538.92,7585.0,(145),1.7004,(1115),['28-Ni-58_n-tot']
95,230281.0,(190),3.53379,6525.75,1007.0,(818),2.25662,(1001),['28-Ni-58_n-tot']
96,1192790.0,(681),1.5527,6509.2,5370.0,(218),2.27068,(999),['28-Ni-58_n-tot']
97,1129170.0,(659),1.59584,6451.61,3970.0,(312),1.75695,(1106),['28-Ni-58_n-tot']
98,1388160.0,(737),1.4393,6449.56,5900.0,(196),2.25005,(1003),['28-Ni-58_n-tot']
99,1574840.0,(781),1.3513,6448.53,6210.0,(186),2.02585,(1055),['28-Ni-58_n-tot']
100,510687.0,(371),2.37297,6361.01,1714.0,(633),4.62414,(254),['28-Ni-58_n-tot']
101,1139210.0,(663),1.58879,6356.68,5560.0,(213),1.76147,(1105),['28-Ni-58_n-tot']
102,198088.0,(169),3.81014,6238.12,1656.0,(651),4.07569,(316),['28-Ni-58_n-tot']
103,2114290.0,(893),1.16624,6234.14,8920.0,(121),2.27527,(994),['28-Ni-58_n-tot']
104,1485460.0,(761),1.39136,6206.87,6820.0,(167),2.59551,(893),['28-Ni-58_n-tot']
105,2075880.0,(887),1.17698,6185.72,7870.0,(142),2.29293,(989),['28-Ni-58_n-tot']
106,1055950.0,(636),1.65024,6152.28,4380.0,(272),1.68332,(1120),['28-Ni-58_n-tot']
107,714256.0,(484),2.00652,6126.61,1683.0,(641),2.33311,(977),['28-Ni-58_n-tot']
108,27199.9,(45),10.2822,6099.33,575.0,(943),13.5516,(37),['28-Ni-58_n-tot']
109,21081.4,(33),11.6794,6017.56,473.6,(991),20.0541,(8),['28-Ni-58_n-tot']
110,32540.8,(57),9.4006,5981.4,316.5,(1050),12.0042,(53),['28-Ni-58_n-tot']
111,127523.0,(126),4.74871,5951.39,2225.0,(516),4.32482,(281),['28-Ni-60_n-tot']
112,1077140.0,(644),1.63393,5909.04,4070.0,(300),1.66597,(1122),['28-Ni-58_n-tot']
113,637590.0,(440),2.12373,5870.77,3221.0,(382),3.21674,(582),['28-Ni-58_n-tot']
114,462119.0,(344),2.49455,5863.87,1732.0,(630),1.86261,(1089),['28-Ni-58_n-tot']
115,2393780.0,(939),1.09604,5856.37,7540.0,(147),2.34747,(970),['28-Ni-58_n-tot']
116,184059.0,(158),3.95268,5853.01,672.0,(912),4.30545,(284),['28-Ni-58_n-tot']
117,643690.0,(442),2.11364,5845.63,2048.0,(560),4.36407,(277),['28-Ni-58_n-tot']
118,641243.0,(441),2.11767,5825.18,1504.0,(677),4.38057,(273),['28-Ni-58_n-tot']
119,458816.0,(343),2.50352,5796.83,1668.0,(650),5.33538,(206),['28-Ni-58_n-tot']
120,4297200.0,(1106),0.818045,5772.47,18630.0,(45),2.93173,(738),['28-Ni-58_n-tot']
121,6186980.0,(1146),0.681758,5727.94,70810.0,(8),3.56379,(428),['28-Ni-58_n-tot']
122,4949880.0,(1128),0.762206,5683.87,42580.0,(16),3.45986,(470),['28-Ni-58_n-tot']
123,4240660.0,(1104),0.82348,5646.51,23490.0,(33),3.30832,(533),['28-Ni-58_n-tot']
124,5471690.0,(1139),0.724952,5607.91,71710.0,(7),3.50543,(445),['28-Ni-58_n-tot']
125,2514030.0,(957),1.06951,5598.5,8010.0,(140),2.5928,(895),['28-Ni-58_n-tot']
126,3838630.0,(1083),0.865529,5590.27,26760.0,(27),3.33851,(520),['28-Ni-58_n-tot']
127,33346.3,(59),9.28637,5589.0,375.0,(1024),11.3375,(58),['28-Ni-60_n-tot']
128,4113970.0,(1099),0.836063,5588.32,29180.0,(24),3.37932,(497),['28-Ni-58_n-tot']
129,2646260.0,(972),1.04245,5569.52,19360.0,(42),2.69897,(858),['28-Ni-58_n-tot']
130,2157920.0,(900),1.15439,5559.94,9260.0,(111),2.12887,(1035),['28-Ni-58_n-tot']
131,1821990.0,(838),1.25631,5554.09,7390.0,(149),2.47723,(936),['28-Ni-58_n-tot']
132,151250.0,(140),4.36036,5516.87,2067.0,(554),4.09427,(315),['28-Ni-58_n-tot']
133,671292.0,(459),2.06973,5460.0,1805.0,(615),3.36074,(508),['28-Ni-58_n-tot']
134,288917.0,(234),3.15488,5451.45,1112.0,(782),7.05811,(130),['28-Ni-58_n-tot']
135,588277.0,(411),2.21095,5400.35,1396.0,(709),1.68949,(1119),['28-Ni-58_n-tot']
136,2316120.0,(928),1.11427,5395.8,8030.0,(137),2.90431,(754),['28-Ni-58_n-tot']
137,552013.0,(395),2.28242,5372.91,1963.0,(581),1.6494,(1132),['28-Ni-58_n-tot']
138,451540.0,(339),2.52361,5361.65,1281.0,(737),4.2413,(299),['28-Ni-58_n-tot']
139,470262.0,(347),2.47286,5348.96,1329.0,(720),1.93091,(1075),['28-Ni-58_n-tot']
140,1922280.0,(857),1.2231,5319.22,7270.0,(154),2.27305,(997),['28-Ni-58_n-tot']
141,213966.0,(177),3.66604,5308.78,2948.0,(426),9.20736,(81),['28-Ni-60_n-tot']
142,537770.0,(385),2.31245,5272.15,2329.0,(502),3.09092,(644),['28-Ni-60_n-tot']
143,2995370.0,(1013),0.979816,5238.97,17270.0,(49),2.89048,(768),['28-Ni-58_n-tot']
144,3102910.0,(1024),0.962687,5216.11,13690.0,(70),2.74326,(840),['28-Ni-58_n-tot']
145,202192.0,(172),3.77127,5175.4,1023.0,(810),2.3797,(960),['28-Ni-58_n-tot']
146,474975.0,(348),2.46056,5143.85,2870.0,(436),4.60049,(258),['28-Ni-60_n-tot']
147,1269830.0,(704),1.50486,5124.84,3210.0,(384),2.02738,(1054),['28-Ni-58_n-tot']
148,110679.0,(114),5.09726,5118.68,2139.0,(542),8.79826,(88),['28-Ni-58_n-tot']
149,161148.0,(145),4.22432,5089.06,797.0,(874),13.0271,(44),['28-Ni-58_n-tot']
150,720113.0,(488),1.99834,5062.73,1224.0,(754),1.99405,(1065),['28-Ni-58_n-tot']
151,895132.0,(573),1.79236,5038.52,3764.0,(330),3.62142,(400),['28-Ni-58_n-tot']
152,438718.0,(333),2.56022,5019.45,2241.0,(514),5.81551,(187),['28-Ni-58_n-tot']
153,248558.0,(205),3.40139,5018.64,2768.0,(448),6.92752,(132),['28-Ni-58_n-tot']
154,254051.0,(209),3.36441,5014.62,1230.0,(753),5.89587,(179),['28-Ni-60_n-tot']
155,219277.0,(184),3.62137,4933.27,1195.0,(764),6.96221,(131),['28-Ni-58_n-tot']
156,36106.8,(63),8.92432,4928.64,308.2,(1055),4.92869,(235),['28-Ni-58_n-tot']
157,783309.0,(524),1.91603,4920.83,1885.0,(595),1.7477,(1108),['28-Ni-58_n-tot']
158,837413.0,(550),1.8531,4910.54,2986.0,(418),3.21266,(585),['28-Ni-58_n-tot']
159,436260.0,(332),2.56742,4871.54,701.0,(900),6.16155,(155),['28-Ni-58_n-tot']
160,602135.0,(418),2.18536,4860.73,1711.0,(634),3.59461,(415),['28-Ni-58_n-tot']
161,2014000.0,(875),1.19492,4855.68,8990.0,(118),2.58532,(897),['28-Ni-58_n-tot']
162,2344990.0,(931),1.10739,4844.1,9050.0,(115),2.27533,(993),['28-Ni-58_n-tot']
163,181157.0,(155),3.98421,4841.93,649.0,(919),4.93137,(233),['28-Ni-58_n-tot']
164,2624770.0,(971),1.0467,4834.23,8120.0,(135),2.54485,(915),['28-Ni-58_n-tot']
165,406596.0,(310),2.65943,4823.59,1066.0,(800),2.24731,(1004),['28-Ni-58_n-tot']
166,1262870.0,(702),1.509,4803.42,5830.0,(199),3.0497,(671),['28-Ni-58_n-tot']
167,186827.0,(161),3.92329,4791.09,843.0,(860),3.47596,(461),['28-Ni-58_n-tot']
168,414257.0,(317),2.63472,4785.67,1193.0,(765),1.943,(1072),['28-Ni-58_n-tot']
169,342413.0,(271),2.89797,4779.93,1306.0,(728),4.42539,(270),['28-Ni-60_n-tot']
170,1914140.0,(856),1.2257,4775.04,5100.0,(229),2.56994,(904),['28-Ni-58_n-tot']
171,544549.0,(391),2.29801,4749.72,1086.0,(793),3.03612,(682),['28-Ni-58_n-tot']
172,1969780.0,(868),1.20826,4737.26,6320.0,(181),2.33864,(974),['28-Ni-58_n-tot']
173,715409.0,(485),2.0049,4655.28,1017.0,(812),2.13551,(1033),['28-Ni-58_n-tot']
174,268901.0,(222),3.27019,4639.81,1096.0,(788),2.20128,(1017),['28-Ni-58_n-tot']
175,144847.0,(137),4.45569,4611.89,2596.0,(463),9.56479,(74),['28-Ni-58_n-tot']
176,795751.0,(530),1.901,4562.6,2428.0,(483),2.66012,(872),['28-Ni-58_n-tot']
177,2088600.0,(889),1.17339,4552.89,8050.0,(136),2.40336,(954),['28-Ni-58_n-tot']
178,1050930.0,(635),1.65418,4520.53,3760.0,(331),2.82848,(801),['28-Ni-58_n-tot']
179,781379.0,(522),1.9184,4463.56,1420.0,(697),2.18073,(1019),['28-Ni-58_n-tot']
180,411257.0,(315),2.64431,4410.77,1305.0,(729),1.763,(1104),['28-Ni-58_n-tot']
181,105298.0,(110),5.22588,4373.81,2161.0,(534),4.25085,(295),['28-Ni-58_n-tot']
182,698823.0,(474),2.02855,4373.35,1970.0,(578),1.65757,(1127),['28-Ni-58_n-tot']
183,1225040.0,(692),1.53213,4355.58,4080.0,(299),3.15023,(614),['28-Ni-58_n-tot']
184,543487.0,(390),2.30025,4323.76,1671.0,(647),3.26891,(554),['28-Ni-58_n-tot']
185,2206810.0,(908),1.14153,4301.53,7110.0,(158),2.24475,(1005),['28-Ni-58_n-tot']
186,3885000.0,(1086),0.860348,4244.08,28460.0,(25),3.41946,(483),['28-Ni-58_n-tot']
187,736959.0,(496),1.97537,4239.51,1913.0,(589),1.52952,(1147),['28-Ni-58_n-tot']
188,5570670.0,(1140),0.718482,4221.2,39150.0,(18),3.59164,(417),['28-Ni-58_n-tot']
189,321112.0,(257),2.99255,4197.46,2344.0,(496),4.29251,(288),['28-Ni-58_n-tot']
190,125303.0,(125),4.79059,4154.35,1219.0,(758),6.05527,(164),['28-Ni-58_n-tot']
191,284675.0,(231),3.1783,4129.71,1818.0,(613),7.94165,(107),['28-Ni-60_n-tot']
192,1112860.0,(654),1.60749,4109.52,3290.0,(372),3.1434,(618),['28-Ni-58_n-tot']
193,83624.7,(97),5.86411,4104.27,451.0,(998),8.46818,(97),['28-Ni-58_n-tot']
194,101298.0,(109),5.32806,4051.95,2061.9,(555),5.37431,(201),['28-Ni-60_n-tot']
195,565087.0,(402),2.25586,4048.45,2249.0,(512),1.59999,(1139),['28-Ni-58_n-tot']
196,2257220.0,(917),1.12871,4031.01,5420.0,(217),2.14278,(1029),['28-Ni-58_n-tot']
197,2283100.0,(923),1.1223,4017.22,6840.0,(165),2.43823,(945),['28-Ni-58_n-tot']
198,1348070.0,(727),1.46054,4007.61,3610.0,(345),3.07248,(655),['28-Ni-58_n-tot']
199,2659980.0,(974),1.03975,3991.7,7170.0,(155),2.90025,(760),['28-Ni-58_n-tot']
200,1638900.0,(794),1.32463,3989.25,4020.0,(304),2.07866,(1045),['28-Ni-58_n-tot']
201,189809.0,(164),3.89235,3976.12,2041.0,(563),2.49041,(931),['28-Ni-58_n-tot']
202,653920.0,(450),2.09704,3972.99,1577.0,(665),3.83239,(358),['28-Ni-58_n-tot']
203,753585.0,(512),1.95346,3967.91,3388.0,(365),1.82095,(1093),['28-Ni-58_n-tot']
204,13458.9,(23),14.6172,3965.77,216.8,(1091),8.40736,(99),['28-Ni-58_n-tot']
205,432467.0,(328),2.57866,3945.92,828.0,(864),5.92117,(176),['28-Ni-58_n-tot']
206,3162070.0,(1030),0.953639,3907.02,15590.0,(55),2.97877,(714),['28-Ni-58_n-tot']
207,2327560.0,(930),1.11153,3890.81,7330.0,(152),2.90625,(753),['28-Ni-58_n-tot']
208,1239350.0,(695),1.52326,3868.79,3100.0,(397),3.31686,(531),['28-Ni-58_n-tot']
209,882529.0,(569),1.80512,3864.05,2403.0,(488),1.87894,(1085),['28-Ni-58_n-tot']
210,707822.0,(479),2.01562,3861.94,1319.0,(724),4.05032,(320),['28-Ni-58_n-tot']
211,370852.0,(290),2.78464,3860.02,854.0,(856),4.31679,(282),['28-Ni-58_n-tot']
212,2671430.0,(976),1.03752,3829.21,12300.0,(80),2.40364,(953),['28-Ni-58_n-tot']
213,600191.0,(417),2.1889,3826.97,1452.0,(689),2.11455,(1041),['28-Ni-58_n-tot']
214,3643880.0,(1071),0.888357,3825.52,26020.0,(28),3.26391,(559),['28-Ni-58_n-tot']
215,686071.0,(466),2.04732,3819.43,2072.0,(552),3.48271,(458),['28-Ni-58_n-tot']
216,4798530.0,(1125),0.774133,3804.53,19340.0,(43),3.23414,(572),['28-Ni-58_n-tot']
217,1564700.0,(779),1.35567,3801.88,5300.0,(221),2.86468,(783),['28-Ni-58_n-tot']
218,1351510.0,(728),1.45868,3800.08,4250.0,(281),3.9684,(334),['28-Ni-58_n-tot']
219,965061.0,(602),1.7262,3773.44,3221.0,(383),2.67617,(865),['28-Ni-58_n-tot']
220,273828.0,(225),3.24064,3772.72,1070.0,(797),8.36718,(101),['28-Ni-58_n-tot']
221,1511370.0,(767),1.37938,3770.38,6530.0,(175),2.01347,(1060),['28-Ni-58_n-tot']
222,2505920.0,(956),1.07124,3756.95,6880.0,(164),2.48016,(935),['28-Ni-58_n-tot']
223,2780060.0,(991),1.01705,3744.18,11090.0,(90),2.92934,(744),['28-Ni-58_n-tot']
224,1378190.0,(734),1.44449,3741.75,4730.0,(250),2.88109,(772),['28-Ni-58_n-tot']
225,13406.5,(22),14.6458,3738.79,101.8,(1129),8.52152,(95),['28-Ni-58_n-tot']
226,2478920.0,(953),1.07706,3732.78,10390.0,(101),2.57611,(901),['28-Ni-58_n-tot']
227,1004430.0,(617),1.69204,3732.31,4980.0,(238),2.56573,(905),['28-Ni-58_n-tot']
228,180446.0,(154),3.99205,3725.74,845.0,(859),5.10706,(223),['28-Ni-58_n-tot']
229,3422160.0,(1054),0.916684,3721.01,15260.0,(57),2.7082,(855),['28-Ni-58_n-tot']
230,2680340.0,(977),1.0358,3687.79,6550.0,(173),2.81252,(810),['28-Ni-58_n-tot']
231,1620560.0,(790),1.3321,3687.78,6830.0,(166),3.06161,(660),['28-Ni-58_n-tot']
232,1160960.0,(672),1.57384,3682.05,3240.0,(376),2.14578,(1026),['28-Ni-58_n-tot']
233,2849480.0,(999),1.00459,3671.68,12290.0,(81),2.80734,(813),['28-Ni-58_n-tot']
234,616053.0,(426),2.16053,3647.79,2187.0,(529),3.7269,(374),['28-Ni-58_n-tot']
235,994870.0,(614),1.70015,3647.27,4481.0,(265),3.14678,(617),['28-Ni-58_n-tot']
236,117741.0,(117),4.94204,3646.8,1021.0,(811),5.17305,(214),['28-Ni-58_n-tot']
237,1328630.0,(721),1.47119,3645.85,4690.0,(253),3.19344,(594),['28-Ni-58_n-tot']
238,4425700.0,(1113),0.806081,3641.18,16540.0,(52),3.35717,(512),['28-Ni-58_n-tot']
239,689550.0,(467),2.04215,3630.67,2654.0,(457),3.24389,(567),['28-Ni-60_n-tot']
240,719208.0,(487),1.9996,3591.05,1097.0,(787),1.64342,(1133),['28-Ni-58_n-tot']
241,2949320.0,(1010),0.987436,3572.55,12350.0,(79),2.73813,(845),['28-Ni-58_n-tot']
242,629351.0,(433),2.13758,3564.21,1134.0,(776),2.7242,(849),['28-Ni-58_n-tot']
243,2449520.0,(947),1.0835,3562.44,10480.0,(100),3.05234,(667),['28-Ni-58_n-tot']
244,506666.0,(365),2.38237,3551.32,1876.0,(596),2.21623,(1013),['28-Ni-58_n-tot']
245,2580660.0,(965),1.05561,3536.39,8520.0,(124),2.57868,(899),['28-Ni-58_n-tot']
246,751073.0,(509),1.95672,3510.55,1271.0,(740),2.70399,(856),['28-Ni-58_n-tot']
