Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1971.57,(5),38.1912,25891.6,160.66,(4),670.048,(0),['34-Se-80_n-tot']
1,5106.96,(12),23.7295,18386.2,208.66,(3),270.098,(4),['34-Se-80_n-tot']
2,4271.63,(9),25.9462,6599.51,284.94,(1),309.345,(2),['34-Se-80_n-tot']
3,6174.85,(14),21.5803,5057.87,265.47,(2),112.73,(13),['34-Se-78_n-tot']
4,3227.79,(8),29.8481,3481.83,145.17,(5),188.085,(8),['34-Se-78_n-tot']
5,4720.32,(11),24.6822,2169.08,91.07,(7),211.931,(6),['34-Se-80_n-tot']
6,2575.45,(7),33.4151,1649.64,106.23,(6),102.792,(14),['34-Se-76_n-tot']
7,862.403,(4),57.745,1563.34,55.319,(10),258.022,(5),['34-Se-76_n-tot']
8,5661.24,(13),22.5379,1054.91,25.78,(12),211.702,(7),['34-Se-80_n-tot']
9,383.017,(3),86.6484,665.126,49.891,(11),466.813,(1),['34-Se-78_n-tot']
10,211.6,(1),116.577,551.21,59.034,(9),179.748,(9),['34-Se-77_n-tot']
11,378.017,(2),87.2196,244.399,8.308,(14),173.838,(10),['34-Se-76_n-tot']
12,27.1,(0),325.751,231.233,86.64,(8),303.028,(3),['34-Se-74_n-tot']
13,2026.79,(6),37.6674,42.6977,13.32,(13),169.557,(11),['34-Se-78_n-tot']
14,4312.87,(10),25.8218,-4947.51,311.86,(0),148.73,(12),['34-Se-78_n-tot']
